Correct Words,Incorrect Words
Baccalaureate,bacalaureat
basketball,baskett_ball
beautiful,beautifull
chose,choose
course,cours
coast,cost
desire,desir
discotheque,discotec
engineering,engeneering
English,enlgish
examination,examin
example,exemple
favourite,favrit
family,familly
first,fist
follow,folow
finish,finisch
friend,freind
finally,finaly
gas,gaz
graduate,graduat
have,hav
here,hear
holiday,hollyday
ideal,ideale
important,importante
interested,intrested
language,langage
lawn_tennis,larn_tennis
leisure,leasure
luck,luke
libraries,librairys
masters,mastes
matches,matchs
mechanicals,mechanials
prepare,prepar
pretty,prety
Russian,rusian
second,secund
secondary,secundry
situated,situed
sixty,sixthy
spent,sepent
snooker,snoker
study,studie
succeed,succed
teaching,theaching
theses,these
two,to
three,tree
university,univercity
week,wik
with,whith
ABATTOIR,ABBATOIR
ABHORRENCE,ABHORENCE
ABSENCE,ABSENSE
ABSORBENT,ABSORBANT
ABSORPTION,ABSORBTION
ACCEDE,ACCEED
ACCELERATE,ACELLERATE
ACCESSIBLE,ACCESIBLE
ACCIDENTALLY,ACCIDENTLY
ACCOMMODATE,ACCOMODATE
ACCOMMODATION,ACCOMODATION
ACCOMMODATIONS,ACCOMODATIONS
ACCOMPANIMENT,ACCOMPANIMEN
ACCOMPANYING,ACCOMPANING
ACCOMPLICE,ACOMPLICE
ACCRUED,ACCRUDE
ACCRUED,ACRUED
ACCUMULATED,ACUMULATED
ACCUSTOM,ACUSTOM
ACHIEVEMENT,ACHEIVEMENT
ACKNOWLEDGMENT,ACKNOWLEDGEMENT
ACQUAINTANCE,ACQUANTANCE
ACQUIESCE,AQUIESE
ACQUIESCENCE,ACQUIESENCE
ACQUIRE,AQUIRE
ACTUALLY,ACTUALY
ADAPTABILITY,ADAPTIBILITY
ADDITION,ADDITON
ADDRESS,ADRESS
ADEQUATELY,ADAQUATELY
ADJACENT,AJACENT
ADJOURNED,ADJORNED
ADMINISTRATION,ADMINSTRATION
ADMISSIBLE,ADMISSABLE
ADMITTING,ADMITING
ADVANTAGEOUS,ADVANTAGOUS
ADVICE,ADVISE
AFFIDAVIT,AFIDAVIT
AGGRAVATED,AGRAVATED
AGHAST,AGAST
AGREEABLE,AGREABLE
ALLOTTED,ALLOTED
ALSO,ALLSO
ALUMNAE,ALUMNI
ALUMNI,ALUMNAE
AMATEUR,AMATUER
AMIABLE,AIMEABLE
AMIABLE,AIMIABLE
AMMONIA,AMONIA
ANALOGOUS,ANALAGOUS
ANALYSIS,ANAYLSIS
ANALYZE,ANALIZE
ANGEL,ANGELL
ANNIVERSARY,ANIVERSARY
ANNIVERSARY,ANNIVERSERY
ANNOUNCEMENT,ANOUNCEMENT
ANNOYANCE,ANNOIANCE
ANNOYANCE,ANOYANCE
ANSWER,ANWSER
ANTARCTIC,ANTARTIC
ANY,ANYE
ANYTHING,ANYTHIN
APOLLO,APPOLO
APOLOGY,APPOLOGY
APPARENT,APARENT
APPEARANCE,APPEARENCE
APPEARING,APPEARIN
APPETITE,APPITITE
APPETITES,APPATITES
APPROPRIATE,APPROPIATE
APPROPRIATE,APROPRIATE
APPROPRIATION,APROPRIATION
